path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.40255868,b,b,m,b,b,b,b,m,b,a,m,m,m,m,a,m,b,b,b,a,b,b,b,b,m,m,a,a,m,0
0.47976696,m,m,a,b,b,m,b,m,b,m,m,b,m,m,m,m,m,m,b,b,b,b,b,b,a,m,b,a,b,0
0.495421,m,b,m,a,b,b,m,a,b,a,m,b,a,a,m,m,m,m,b,m,m,a,b,b,a,m,b,b,b,0
0.52967,m,m,m,m,b,b,a,a,b,m,m,b,m,m,m,m,m,a,b,b,b,b,b,b,a,m,m,m,m,0
0.97335106,m,b,m,a,b,b,m,m,b,m,a,b,a,m,a,m,m,a,b,b,m,a,b,b,a,m,b,b,b,0
1.0774351,m,m,a,a,m,b,b,m,m,m,a,b,m,m,a,m,m,m,m,a,m,b,a,a,m,m,m,m,m,0
0.5695735,b,m,a,a,m,b,m,a,b,a,m,b,a,a,a,m,m,m,m,b,b,m,a,b,a,m,m,b,b,0
0.66197443,m,b,m,b,b,m,a,a,b,a,m,b,a,a,m,m,b,b,m,b,m,a,b,b,a,m,b,b,m,0
0.7030948,m,b,b,b,b,b,b,m,b,m,b,m,m,m,m,b,b,b,b,a,a,m,a,a,m,m,a,b,m,0
0.56642854,m,b,m,b,b,m,b,a,b,a,m,b,a,a,m,m,m,m,b,m,b,a,b,b,a,m,m,b,b,0
0.26517245,b,b,m,b,m,b,b,m,b,m,b,b,a,m,a,b,b,m,b,a,b,b,b,b,m,m,m,b,b,0
0.6156657,m,b,a,b,b,b,m,a,b,a,b,b,a,a,a,m,m,b,b,m,b,m,b,a,m,m,m,b,m,0
0.7120279,m,m,a,b,b,b,b,a,m,m,b,b,a,a,m,m,m,a,b,m,b,m,b,a,m,m,b,b,m,0
0.6141003,m,m,m,m,b,b,a,a,b,m,m,b,m,a,m,m,m,m,m,b,b,m,b,a,m,m,a,b,m,0
0.37783584,m,m,a,b,b,b,m,b,b,a,b,b,a,a,a,m,m,a,b,m,b,m,b,b,a,m,b,b,b,0
0.34576723,m,b,a,b,b,b,b,a,b,m,b,b,a,a,a,m,m,a,b,a,b,m,b,a,m,m,b,b,b,0
0.2026938,m,b,a,b,b,b,b,m,b,m,m,b,a,a,m,b,m,m,b,a,b,b,b,a,m,m,b,b,m,0
0.6224667,b,b,a,b,b,m,a,b,b,a,m,b,a,a,a,m,m,a,b,b,b,m,b,a,a,m,b,b,b,0
0.93795353,b,b,a,a,m,m,m,b,b,a,a,b,a,a,m,m,b,b,b,a,b,b,a,a,a,m,m,b,m,0
0.3368631,b,a,a,b,m,b,b,a,b,m,b,b,m,a,a,m,m,a,b,a,b,b,b,b,m,m,m,b,m,0
0.2583743,m,b,a,b,m,b,b,m,b,m,b,b,a,a,m,m,m,m,m,a,b,a,b,a,m,m,m,b,m,0
0.603999,m,b,a,m,m,m,b,b,b,a,a,b,a,a,a,m,m,b,b,a,m,m,b,a,a,m,a,b,a,0
0.22803906,b,b,m,b,b,b,b,b,b,m,b,b,a,a,m,m,m,b,b,a,b,b,b,b,m,m,m,b,m,0
1.2922558,m,m,b,a,b,b,b,b,b,b,a,b,a,a,m,b,m,m,m,m,a,b,b,m,m,m,m,b,m,0
0.6129118,b,m,m,b,b,b,b,m,b,a,b,a,a,a,a,m,m,m,b,a,b,b,b,a,m,m,a,b,m,0
0.19649743,m,m,m,b,b,b,b,b,b,a,m,b,a,m,m,m,b,m,b,a,b,b,b,b,a,m,m,b,b,0
0.29511893,m,b,a,b,b,b,b,a,b,m,b,b,a,a,m,m,m,b,b,a,b,b,b,b,m,m,m,b,b,0
0.53831995,b,b,a,b,b,m,b,a,b,a,b,b,a,a,a,m,m,m,b,a,b,b,b,a,m,m,m,m,m,0
0.49607635,a,m,m,b,m,b,b,m,b,m,b,b,m,m,m,b,b,m,b,a,b,b,a,b,m,m,m,b,b,0
0.68317366,m,b,a,m,b,m,a,m,b,a,a,b,a,a,m,b,m,m,m,b,b,m,b,b,a,m,b,b,m,0
0.34975013,m,b,m,b,b,b,b,a,b,a,b,b,m,a,a,m,m,m,b,a,b,a,b,a,a,m,m,b,m,0
0.5787741,m,b,a,b,b,b,m,a,b,m,m,b,a,a,a,m,m,a,b,m,b,a,b,m,a,m,b,b,b,0
1.2168832,b,a,m,a,m,b,b,m,b,m,a,b,m,m,m,b,m,m,m,m,m,m,a,m,m,m,a,a,m,0
0.40246925,b,b,m,m,b,b,a,a,b,m,b,m,m,a,a,m,m,b,b,a,b,a,b,a,a,m,m,b,m,0
0.5514207,m,b,m,m,b,b,b,a,b,a,m,b,m,m,m,m,m,b,m,m,b,a,a,b,a,m,a,b,b,0
0.96166205,m,m,b,b,b,b,b,m,b,a,m,m,m,m,a,m,b,m,m,a,b,m,b,a,m,m,m,b,m,0
0.6775828,m,b,m,b,b,m,b,a,b,a,m,b,m,m,m,m,b,m,b,b,m,m,b,b,a,m,b,b,m,0
0.42790017,m,b,a,b,b,m,a,a,b,a,m,b,a,m,m,m,b,m,m,a,b,m,a,b,a,m,m,b,m,0
0.72686446,b,b,a,m,b,m,m,a,b,a,m,m,a,a,a,m,b,m,b,m,b,m,b,a,a,m,m,b,m,0
0.50041676,m,b,a,b,b,m,a,a,b,a,b,b,a,m,m,m,m,m,b,b,b,a,b,b,m,m,m,b,m,0
0.29025334,b,b,a,b,b,b,b,b,b,m,b,b,a,a,a,b,m,m,b,a,b,b,b,a,m,m,m,b,b,0
0.43438017,b,b,m,b,b,b,b,a,b,a,b,b,a,a,a,m,m,m,b,m,b,m,b,m,m,m,m,b,m,0
0.6741709,m,b,a,b,b,m,a,m,b,a,m,b,m,a,m,m,b,m,m,b,b,a,b,b,a,m,b,b,b,0
0.11689179,b,b,m,b,b,b,b,m,b,m,b,b,m,a,a,m,b,m,b,a,b,b,b,b,m,m,m,b,m,0
0.26052198,m,b,b,b,m,b,b,m,b,m,b,b,a,m,m,b,m,m,b,a,b,b,b,b,m,m,b,m,b,0
0.58661395,m,b,a,b,b,m,a,a,b,a,b,b,a,a,a,m,m,m,m,m,b,m,b,m,a,m,m,b,m,0
